Taxa,Origin,Body.Length.Grat,Microscope.Corr.Fac,Cup,Cup.Weight(g),Body.Length(mm),Cup.Org.Weight(g),Org.Weight(g),Comments
Ephemeroptera,Toledo,70,10,1,0.508,10,0.51005,0.00205,Body measured from head to tail BEFORE three way split
Ephemeroptera,Toledo,48,10,2,0.511,6.8571428571,0.51146,0.00046,out at 9:30 on 28/04/17
Ephemeroptera,Toledo,73,10,3,0.511,10.4285714286,0.51574,0.00474,
Ephemeroptera,Toledo,75,10,4,0.506,10.7142857143,0.50945,0.00345,
Ephemeroptera,Toledo,64,10,5,0.508,9.1428571429,0.51025,0.00225,
Ephemeroptera,Toledo,75,10,6,0.506,10.7142857143,0.50965,0.00365,
Ephemeroptera,Toledo,62,10,7,0.51,8.8571428571,0.51124,0.00124,
Ephemeroptera,Toledo,68.5,10,8,0.516,9.7857142857,0.51854,0.00254,
Ephemeroptera,Toledo,70,10,9,0.509,10,0.51332,0.00432,
Ephemeroptera,Toledo,51,10,10,0.516,7.2857142857,0.51666,0.00066,
Ephemeroptera,Toledo,71,10,11,0.51,10.1428571429,0.51532,0.00532,
Ephemeroptera,Toledo,66,10,12,0.514,9.4285714286,0.51581,0.00181,
Ephemeroptera,Toledo,61,10,13,0.512,8.7142857143,0.51383,0.00183,
Ephemeroptera,Toledo,68,10,14,0.511,9.7142857143,0.51378,0.00278,
Ephemeroptera,Toledo,64,10,15,0.511,9.1428571429,0.51297,0.00197,
Ephemeroptera,Toledo,65,10,16,0.514,9.2857142857,0.51577,0.00177,
Ephemeroptera,Toledo,45,10,17,0.5135,6.4285714286,0.51401,0.00051,
Ephemeroptera,Toledo,54,10,18,0.513,7.7142857143,0.51348,0.00048,
Ephemeroptera,Toledo,55,10,19,0.51,7.8571428571,0.51099,0.00099,
Ephemeroptera,Toledo,73,10,20,0.51,10.4285714286,0.51312,0.00312,
Ephemeroptera,Toledo,59,10,21,0.506,8.4285714286,0.50665,0.00065,
Ephemeroptera,Toledo,49,10,22,0.5,7,0.5046,0.0046,
Ephemeroptera,Toledo,53,10,23,0.502,7.5714285714,0.50256,0.00056,
Ephemeroptera,Toledo,61,10,24,0.5035,8.7142857143,0.50529,0.00179,
Ephemeroptera,Toledo,66,10,25,0.501,9.4285714286,0.50434,0.00334,
Ephemeroptera,Toledo,68,10,26,0.503,9.7142857143,0.50435,0.00135,
Ephemeroptera,Toledo,52,10,27,0.5005,7.4285714286,0.50107,0.00057,
Ephemeroptera,Toledo,40,10,28,0.501,5.7142857143,0.50133,0.00033,
Ephemeroptera,Toledo,57,10,29,0.5,8.1428571429,0.50159,0.00159,
Ephemeroptera,Toledo,68,10,30,0.5025,9.7142857143,0.50508,0.00258,
Ephemeroptera,Toledo,55,10,31,0.5025,7.8571428571,0.50366,0.00116,
Ephemeroptera,Toledo,58,10,32,0.5,8.2857142857,0.50117,0.00117,
Ephemeroptera,Toledo,56,10,33,0.514,8,0.51538,0.00138,
Ephemeroptera,Toledo,53,10,34,0.516,7.5714285714,0.51691,0.00091,
Ephemeroptera,Toledo,70,10,35,0.5145,10,0.51722,0.00272,
Ephemeroptera,Toledo,63,10,36,0.511,9,0.51283,0.00183,
Ephemeroptera,Toledo,64,10,37,0.515,9.1428571429,0.51696,0.00196,
Ephemeroptera,Toledo,54,10,38,0.512,7.7142857143,0.51277,0.00077,
Ephemeroptera,Toledo,62,10,39,0.508,8.8571428571,0.50969,0.00169,
Ephemeroptera,Toledo,68,10,40,0.514,9.7142857143,0.51551,0.00151,
Ephemeroptera,Toledo,60,10,41,0.506,8.5714285714,0.50725,0.00125,
Ephemeroptera,Toledo,67,10,42,0.505,9.5714285714,0.50605,0.00105,
Ephemeroptera,Toledo,73,10,43,0.509,10.4285714286,0.51132,0.00232,
Ephemeroptera,Toledo,65,10,44,0.5095,9.2857142857,0.51108,0.00158,
Ephemeroptera,Toledo,67,10,45,0.5105,9.5714285714,0.51237,0.00187,
Ephemeroptera,Toledo,66,10,46,0.512,9.4285714286,0.51388,0.00188,
Ephemeroptera,Toledo,54,10,47,0.509,7.7142857143,0.50981,0.00081,
Ephemeroptera,Toledo,65,10,48,0.51,9.2857142857,0.51036,0.00036,
Ephemeroptera,Toledo,74,10,49,0.506,10.5714285714,0.51067,0.00467,
Ephemeroptera,Toledo,61,10,50,0.508,8.7142857143,0.50986,0.00186,
Ephemeroptera,Toledo,74,10,51,0.506,10.5714285714,0.50849,0.00249,in at 18:42 on 26/04/17
Mosquito,Murcia,83,10,52,0.511,11.8571428571,0.51239,0.00139,Body measured from head to end of SEGMENTED body
Mosquito,Murcia,54,10,53,0.507,7.7142857143,0.50764,0.00064,out at 11:20 on 28/04/17
Mosquito,Murcia,66,10,54,0.512,9.4285714286,0.51246,0.00046,
Mosquito,Murcia,89,10,55,0.51,12.7142857143,0.51094,0.00094,
Mosquito,Murcia,62,10,56,0.5165,8.8571428571,0.51692,0.00042,
Mosquito,Murcia,90,10,57,0.511,12.8571428571,0.51291,0.00191,
Mosquito,Murcia,98,10,58,0.513,14,0.51541,0.00241,
Mosquito,Murcia,80,10,59,0.51,11.4285714286,0.51133,0.00133,
Mosquito,Murcia,79,10,60,0.509,11.2857142857,0.50982,0.00082,
Mosquito,Murcia,35,10,61,0.51075,5,0.51102,0.00027,
Mosquito,Murcia,78,10,62,0.508,11.1428571429,0.50972,0.00172,
Mosquito,Murcia,58,10,63,0.5115,8.2857142857,0.51179,0.00029,
Mosquito,Murcia,94,10,64,0.5125,13.4285714286,0.51468,0.00218,
Mosquito,Murcia,83,10,65,0.5095,11.8571428571,0.51083,0.00133,
Mosquito,Murcia,80,10,66,0.5095,11.4285714286,0.51058,0.00108,
Mosquito,Murcia,48,10,67,0.5105,6.8571428571,0.51091,0.00041,
Mosquito,Murcia,78,10,68,0.5075,11.1428571429,0.50888,0.00138,
Mosquito,Murcia,79,10,69,0.509,11.2857142857,0.51023,0.00123,
Mosquito,Murcia,71,10,70,0.5075,10.1428571429,0.50828,0.00078,
Mosquito,Murcia,61,10,71,0.5075,8.7142857143,0.50901,0.00151,
Mosquito,Murcia,88,10,72,0.5105,12.5714285714,0.51304,0.00254,
Mosquito,Murcia,80,10,73,0.511,11.4285714286,0.51219,0.00119,
Mosquito,Murcia,91,10,74,0.505,13,0.50673,0.00173,
Mosquito,Murcia,83,10,75,0.50875,11.8571428571,0.50989,0.00114,
Mosquito,Murcia,68,10,76,0.5075,9.7142857143,0.50851,0.00101,
Mosquito,Murcia,90,10,77,0.5065,12.8571428571,0.50822,0.00172,
Mosquito,Murcia,81,10,78,0.5085,11.5714285714,0.50981,0.00131,
Mosquito,Murcia,98,10,79,0.511,14,0.51329,0.00229,
Mosquito,Murcia,82,10,80,0.514,11.7142857143,0.51575,0.00175,
Mosquito,Murcia,75,10,81,0.5095,10.7142857143,0.51083,0.00133,
Mosquito,Murcia,57,10,82,0.512,8.1428571429,0.51232,0.00032,
Mosquito,Murcia,59,10,83,0.498,8.4285714286,0.49837,0.00037,
Mosquito,Murcia,78,10,84,0.502,11.1428571429,0.50333,0.00133,
Mosquito,Murcia,88,10,85,0.5135,12.5714285714,0.51505,0.00155,
Mosquito,Murcia,54,10,86,0.5125,7.7142857143,0.51285,0.00035,
Mosquito,Murcia,47,10,87,0.511,6.7142857143,0.51126,0.00026,
Mosquito,Murcia,62,10,88,0.5115,8.8571428571,0.51262,0.00112,
Mosquito,Murcia,92,10,89,0.5125,13.1428571429,0.51406,0.00156,
Mosquito,Murcia,88,10,90,0.511,12.5714285714,0.51283,0.00183,
Mosquito,Murcia,67,10,91,0.513,9.5714285714,0.51438,0.00138,
Mosquito,Murcia,96,10,92,0.512,13.7142857143,0.51433,0.00233,
Mosquito,Murcia,90,10,93,0.5135,12.8571428571,0.51507,0.00157,
Mosquito,Murcia,81,10,94,0.5113,11.5714285714,0.51227,0.00097,
Mosquito,Murcia,68,10,95,0.5115,9.7142857143,0.51266,0.00116,
Mosquito,Murcia,77,10,96,0.5105,11,0.51158,0.00108,
Mosquito,Murcia,78,10,97,0.511,11.1428571429,0.51215,0.00115,
Mosquito,Murcia,86,10,98,0.509,12.2857142857,0.51094,0.00194,
Mosquito,Murcia,84,10,99,0.509,12,0.51057,0.00157,
Mosquito,Murcia,90,10,100,0.511,12.8571428571,0.51277,0.00177,
Mosquito,Murcia,77,10,101,0.508,11,0.50878,0.00078,
Mosquito,Murcia,95,10,102,0.5047,13.5714285714,0.50713,0.00243,
Mosquito,Murcia,86,10,103,0.5028,12.2857142857,0.50407,0.00127,
Mosquito,Murcia,88,10,104,0.50225,12.5714285714,0.50386,0.00161,
Mosquito,Murcia,75,10,105,0.5037,10.7142857143,0.50478,0.00108,
Mosquito,Murcia,91,10,106,0.5003,13,0.50267,0.00237,
Mosquito,Murcia,81,10,107,0.5015,11.5714285714,0.50375,0.00225,
Mosquito,Murcia,86,10,108,0.504,12.2857142857,0.50577,0.00177,
Mosquito,Murcia,77,10,109,0.5045,11,0.50581,0.00131,in at 10:18 on 27/04/17
Chiro,Murcia,62,10,1,0.50873,8.8571428571,0.50911,0.00038,Measured from mouth to end
Chiro,Murcia,65,10,2,0.51054,9.2857142857,0.51122,0.00068,out at 13:20 on 29/04/17
Chiro,Murcia,60,10,3,0.51298,8.5714285714,0.51348,0.0005,
Chiro,Murcia,63,10,4,0.50701,9,0.50742,0.00041,
Chiro,Murcia,56,10,5,0.50846,8,0.50882,0.00036,
Chiro,Murcia,60,10,6,0.50672,8.5714285714,0.50745,0.00073,
Chiro,Murcia,52,10,7,0.50881,7.4285714286,0.50923,0.00042,
Chiro,Murcia,61,10,8,0.51152,8.7142857143,0.51127,-0.00025,
Chiro,Murcia,45,10,9,0.509,6.4285714286,,-0.509,chiro lost
Chiro,Murcia,59,10,10,0.51551,8.4285714286,0.51577,0.00026,
Chiro,Murcia,50,10,11,0.51289,7.1428571429,0.51304,0.00015,
Chiro,Murcia,59,10,12,0.51369,8.4285714286,0.51407,0.00038,
Chiro,Murcia,55,10,13,0.51191,7.8571428571,0.51257,0.00066,
Chiro,Murcia,61,10,14,0.51215,8.7142857143,0.51263,0.00048,
Chiro,Murcia,58,10,15,0.51112,8.2857142857,0.51145,0.00033,
Chiro,Murcia,47,10,16,0.51384,6.7142857143,0.51399,0.00015,
Chiro,Murcia,67,10,17,0.51352,9.5714285714,0.51384,0.00032,
Chiro,Murcia,60,10,18,0.51244,8.5714285714,0.51226,-0.00018,
Chiro,Murcia,59,10,19,0.50975,8.4285714286,0.51001,0.00026,
Chiro,Murcia,58,10,20,0.50999,8.2857142857,0.51007,0.00008,
Chiro,Murcia,61,10,21,0.50562,8.7142857143,0.50577,0.00015,
Chiro,Murcia,63,10,22,0.50364,9,0.50389,0.00025,
Chiro,Murcia,62,10,23,0.50169,8.8571428571,0.50175,0.00006,
Chiro,Murcia,46,10,24,0.50345,6.5714285714,0.50346,0.00001,
Chiro,Murcia,59,10,25,0.50189,8.4285714286,0.50232,0.00043,
Chiro,Murcia,62,10,26,0.50264,8.8571428571,0.50283,0.00019,
Chiro,Murcia,51,10,27,0.50023,7.2857142857,0.50071,0.00048,
Chiro,Murcia,59,10,28,0.50046,8.4285714286,0.50079,0.00033,
Chiro,Murcia,41,10,29,0.50032,5.8571428571,0.50043,0.00011,
Chiro,Murcia,55,10,30,0.50262,7.8571428571,0.50241,-0.00021,
Chiro,Murcia,58,10,31,0.50211,8.2857142857,0.50272,0.00061,
Chiro,Murcia,31,10,32,0.49965,4.4285714286,0.49969,0.00004,
Chiro,Murcia,31,10,33,0.51367,4.4285714286,0.51369,0.00002,
Chiro,Murcia,66,10,34,0.51572,9.4285714286,0.51611,0.00039,
Chiro,Murcia,52,10,35,0.51464,7.4285714286,0.51402,-0.00062,
Chiro,Murcia,32,10,36,0.51042,4.5714285714,0.51043,0.00001,
Chiro,Murcia,58,10,37,0.51478,8.2857142857,0.51548,0.0007,
Chiro,Murcia,62,10,38,0.51134,8.8571428571,0.51165,0.00031,
Chiro,Murcia,64,10,39,0.50785,9.1428571429,0.50823,0.00038,
Chiro,Murcia,66,10,40,0.514,9.4285714286,0.51442,0.00042,
Chiro,Murcia,52,10,41,0.50525,7.4285714286,0.50551,0.00026,
Chiro,Murcia,50,10,42,0.50412,7.1428571429,0.50427,0.00015,
Chiro,Murcia,61,10,43,0.50955,8.7142857143,0.50975,0.0002,
Chiro,Murcia,57,10,44,0.50923,8.1428571429,0.50928,0.00005,
Chiro,Murcia,58,10,45,0.5105,8.2857142857,0.51069,0.00019,
Chiro,Murcia,55,10,46,0.51187,7.8571428571,0.51197,0.0001,
Chiro,Murcia,47,10,47,0.509,6.7142857143,0.50906,0.00006,
Chiro,Murcia,62,10,48,0.50853,8.8571428571,0.50934,0.00081,
Chiro,Murcia,31,10,49,0.506,4.4285714286,,-0.506,chiro lost
Chiro,Murcia,62,10,50,0.50767,8.8571428571,0.50807,0.0004,
Chiro,Murcia,44,10,51,0.50609,6.2857142857,0.50628,0.00019,
Chiro,Murcia,21,10,52,0.51097,3,0.51102,0.00005,
Chiro,Murcia,19,10,53,0.50721,2.7142857143,0.50722,0.00001,
Chiro,Murcia,31,10,54,0.51206,4.4285714286,0.51218,0.00012,
Chiro,Murcia,56,10,55,0.50971,8,0.51017,0.00046,
Chiro,Murcia,55,10,56,0.51684,7.8571428571,0.51697,0.00013,
Chiro,Murcia,59,10,57,0.51063,8.4285714286,0.51092,0.00029,
Chiro,Murcia,52,10,58,0.51262,7.4285714286,0.51293,0.00031,
Chiro,Murcia,64,10,59,0.51016,9.1428571429,0.51031,0.00015,
Chiro,Murcia,45,10,60,0.50866,6.4285714286,0.50892,0.00026,
Dragon,Toledo,36,10,61,0.51052,5.1428571429,0.51096,0.00044,measured from mouth to end of abdomen
Dragon,Toledo,34,10,62,0.50823,4.8571428571,0.50883,0.0006,
Dragon,Toledo,37,10,63,0.51146,5.2857142857,0.51192,0.00046,
Dragon,Toledo,31,10,64,0.51244,4.4285714286,0.51276,0.00032,
Dragon,Toledo,25,10,65,0.50955,3.5714285714,0.50979,0.00024,
Dragon,Toledo,34,10,66,0.50916,4.8571428571,0.50934,0.00018,
Dragon,Toledo,23,10,67,0.51054,3.2857142857,0.51064,0.0001,
Dragon,Toledo,35,10,68,0.50762,5,0.50799,0.00037,
Dragon,Toledo,36,10,69,0.50913,5.1428571429,0.50945,0.00032,
Dragon,Toledo,35,10,70,0.5075,5,0.50783,0.00033,
Dragon,Toledo,26,10,71,0.50742,3.7142857143,0.50788,0.00046,
Dragon,Toledo,27,10,72,0.51027,3.8571428571,0.51048,0.00021,
Dragon,Toledo,36,10,73,0.51076,5.1428571429,0.51133,0.00057,
Dragon,Toledo,33,10,74,0.50527,4.7142857143,0.50578,0.00051,
Dragon,Toledo,34,10,75,0.50851,4.8571428571,0.50887,0.00036,
Dragon,Toledo,36,10,76,0.5072,5.1428571429,0.50805,0.00085,
Dragon,Toledo,36,10,77,0.50642,5.1428571429,0.50675,0.00033,
Dragon,Toledo,26,10,78,0.50814,3.7142857143,0.50839,0.00025,
Dragon,Toledo,45,10,79,0.51119,6.4285714286,0.51206,0.00087,
Dragon,Toledo,28,10,80,0.5144,4,0.51462,0.00022,
Dragon,Toledo,22,10,81,0.50894,3.1428571429,0.50934,0.0004,
Dragon,Toledo,52,10,82,0.51229,7.4285714286,0.51296,0.00067,
Dragon,Toledo,57,10,83,0.49778,8.1428571429,0.49886,0.00108,
Dragon,Toledo,38,10,84,0.50199,5.4285714286,0.50267,0.00068,
Dragon,Toledo,63,10,85,0.51323,9,0.51515,0.00192,
Dragon,Toledo,36,10,86,0.5125,5.1428571429,,-0.5125,dragon lost
Dragon,Toledo,64,10,87,0.511,9.1428571429,0.51212,0.00112,
Dragon,Toledo,42,10,88,0.50627,6,0.50731,0.00104,foil cup changed
Dragon,Toledo,51,10,89,0.51232,7.2857142857,0.51368,0.00136,
Dragon,Toledo,56,10,90,0.51079,8,0.51201,0.00122,
Dragon,Toledo,52,10,91,0.51248,7.4285714286,0.51349,0.00101,
Dragon,Toledo,21,10,92,0.51172,3,0.51187,0.00015,
Dragon,Toledo,54,10,93,0.51383,7.7142857143,0.51476,0.00093,
Dragon,Toledo,34,10,94,0.51106,4.8571428571,0.51134,0.00028,
Dragon,Toledo,35,10,95,0.51119,5,0.51166,0.00047,
Dragon,Toledo,33,10,96,0.5103,4.7142857143,0.51083,0.00053,
