,Genus,Species,Site,Site.annual.mean.temp,Site.April.mean.temp,B0,B0.SE,B0.t.value,B0.p,Ea,Ea.SE,Ea.t.value,Ea.p,Ed,Ed.SE,Ed.t.value,Ed.p,Tpk,Resid.SE,R2,AIC,BIC
1,Chironomus,NA,Evora,16.1228671008,12.5511900369,-4.0697178353,0.0808547937,-50.333661708,5.21027847044697E-100,0.2775416231,0.0125064891,22.1918093967,1.05642391150078E-50,4.5002759626,1.2831102799,3.5073181418,0.0005876891,312.9490340475,0.5010234992,0.6615865334,-273.9496603074,-258.4503281683
2,Chironomus,NA,Jaca,11.2844831613,9.1161791667,-5.347409,0.6609083,-8.090999,0.00002022,0.7499834,0.227321,3.299226,0.009241305,1.669526,0.2792157,5.979341,0.0002077011,301.6019,0.6132693,0.6054766,15.52011,18.34485
3,NA,NA,Murcia,19.4108476798,18.89849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Chironomus,NA,Penalara,8.9629381692,11.2778305556,-5.293245103,0.1752599242,-30.2022560269,1.68789108828307E-50,0.3659550693,0.0203910796,17.9468216427,2.80405551160932E-32,3.2501749612,0.8339492767,3.8973293123,0.0001811152,312.2332354999,0.7583374545,0.7512372897,-159.3677389651,-146.3921397144
5,Chironomus,NA,Porto,16.3662067493,15.1147834951,-4.057655,0.4926063,-8.237115,4.993945E-13,0.7483777,0.3648292,2.05131,0.04270245,0.7484348,0.4607011,1.624556,0.1072271,423.15,0.4664709,0.3793758,-45.39951,-31.89711
6,Chironomus,NA,Toledo,16.1089970452,12.1199240069,-3.582771,0.1430308,-25.04895,7.46697E-46,0.2559147,0.02166248,11.81373,6.196213E-21,31.6004,14811468,2.133509E-06,0.9999983,316.8266,0.7128872,0.5184122,-43.09737,-29.68672
7,Cloeon,dipterum,Evora,16.1228671008,12.5511900369,-3.1250066205,0.1036840043,-30.1397177041,1.66908376107667E-53,0.3239294524,0.0189483378,17.095402055,4.13945489754278E-32,2.3493486729,0.5056128494,4.6465367237,9.83750848876879E-06,310.8622161514,0.479378665,0.6049989495,136.731597821,150.1883372322
8,NA,NA,Jaca,11.2844831613,9.1161791667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Cloeon,dipterum,Murcia,19.4108476798,18.89849,-4.0008116788,0.2486979957,-16.0870282331,5.75339132724632E-21,0.4022164885,0.0662247241,6.0735094586,1.93599922367012E-07,1.3435577643,0.6317502117,2.1267230932,0.0386107299,312.0111026801,0.7085661176,0.7048619699,42.0078756145,51.7640942074
10,NA,NA,Penalara,8.9629381692,11.2778305556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Cloeon,dipterum,Porto,16.3662067493,15.1147834951,-3.5234155885,0.1093037588,-32.2350816278,5.75858007728045E-54,0.4001820254,0.0352535664,11.3515330797,1.45542392115313E-19,1.2723665691,0.2139284341,5.9476271804,0.000000042,309.4456348736,0.4038757271,0.7147150779,10.7322528654,23.8571169318
12,Cloeon,dipterum,Toledo,16.1089970452,12.1199240069,-5.809285357,0.2737460192,-21.2214423172,4.69233983676457E-35,1.113565596,0.1785802413,6.2356595992,1.85794092243409E-08,1.1589073949,0.1285191606,9.0173900071,6.64585951386479E-14,311.9328947432,0.6771065834,0.7947564961,12.841564071,25.1133005522
13,Sympetrum,striolatum,Evora,16.1228671008,12.5511900369,-3.1037932762,0.1349699563,-22.9961790047,3.30325237007204E-43,0.3890529837,0.0355776974,10.9353053335,3.88242794127975E-19,1.5592969152,0.2476822529,6.2955536656,6.89641432150281E-09,307.1530477985,0.5268637458,0.6167526086,94.3779593291,107.9256103357
14,Sympetrum,striolatum,Jaca,11.2844831613,9.1161791667,-4.4897616252,0.1865030781,-24.0733915591,1.07120517548457E-42,0.4644366649,0.0570509203,8.1407392285,1.34673026254861E-12,1.296316978,0.2257051778,5.7434082395,1.06528397476742E-07,307.2512814608,0.6784332322,0.4988092475,-31.7969400109,-18.7213374267
15,NA,NA,Murcia,19.4108476798,18.89849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,Penalara,8.9629381692,11.2778305556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Sympetrum,striolatum,Porto,16.3662067493,15.1147834951,-3.7552670922,0.1274415849,-29.4665755766,1.09236055972882E-47,0.352664159,0.0197520935,17.8545205265,3.64658392053664E-31,2.6468730116,0.5247450257,5.0441126301,2.38670590360472E-06,310.5189706093,0.5849694163,0.6816153005,32.6647582304,45.3277556962
18,Sympetrum,striolatum,Toledo,16.1089970452,12.1199240069,-5.7132537103,0.5449345713,-10.484292999,4.55078639288342E-16,1.3374318244,0.7015349398,1.906436513,0.060641108,1.337599765,0.6525377419,2.0498427588,0.0440743956,343.9433487219,0.6414481152,0.4585375589,23.3075317311,34.8949722988
19,NA,NA,Evora,16.1228671008,12.5511900369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Culex,territans,Jaca,11.2844831613,9.1161791667,-3.8521918472,0.1519373094,-25.3538242978,2.50325213328135E-44,0.3382246854,0.0327586617,10.3247406232,2.98887406533096E-17,1.7991621399,0.445759444,4.0361727929,0.0001092246,309.6842447358,0.5822473561,0.6513669576,-108.0685421111,-95.0426911811
21,NA,NA,Murcia,19.4108476798,18.89849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Culex,territans,Penalara,8.9629381692,11.2778305556,-4.9923033458,0.174156067,-28.6656872322,3.75972647624697E-49,0.5015271073,0.0419685735,11.9500632454,8.96299376610338E-21,1.4195526259,0.1551127761,9.1517453377,9.1021934019036E-15,306.4670660381,0.5721895528,0.6706951175,-110.0483050208,-96.9727024366
23,NA,NA,Porto,16.3662067493,15.1147834951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,Toledo,16.1089970452,12.1199240069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
